DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2009,276.624,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2010,294.317,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2011,481.393,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2012,494.323,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2013,773.692,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2014,1107.172,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2015,2327.359,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2016,3068.041,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2017,4795.192,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2018,5838.668,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2019,6024.746,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2020,8255.676,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2021,8506.734,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2022,12021.995,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2023,15043.174,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Finland,2024,21046.257,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2005,962.570,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2006,2182.580,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2007,4070.110,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2008,5694.210,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2009,7911.570,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2010,9944.990,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2011,12624.101,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2012,15488.163,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2013,16466.332,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2014,17677.323,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2015,21857.757,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2016,21817.332,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2017,25111.670,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2018,29182.240,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2019,35458.502,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2020,40707.599,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2021,37693.415,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2022,38975.853,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2023,51457.201,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,France,2024,47499.378,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2005,10.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2006,19.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2007,34.900,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2008,39.900,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2009,54.200,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2010,139.100,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2011,201.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2012,328.746,,
